time,date,S,E,I,R
0,1/22/20,7899999443,0,529,28
1,1/23/20,7899999343,0,627,30
2,1/24/20,7899998956,100,908,36
3,1/25/20,7899998176,387,1398,39
4,1/26/20,7899997000,880,2068,52
5,1/27/20,7899995508,1563,2868,61
6,1/28/20,7899992048,2372,5473,107
7,1/29/20,7899988908,4923,6043,126
8,1/30/20,7899986538,5225,8094,143
9,1/31/20,7899983273,6800,9705,222
10,2/1/20,7899980155,7807,11754,284
11,2/2/20,7899974104,9109,16315,472
12,2/3/20,7899968906,11207,19264,623
13,2/4/20,7899962383,13718,23047,852
14,2/5/20,7899956694,15662,26520,1124
15,2/6/20,7899951477,17717,29319,1487
16,2/7/20,7899946832,18768,32389,2011
17,2/8/20,7899945256,17613,34515,2616
18,2/9/20,7899942594,17244,36918,3244
19,2/10/20,7899940966,16263,38825,3946
20,2/11/20,7899940059,15127,40131,4683
21,2/12/20,7899940760,14008,40082,5150
22,2/13/20,7899928784,10832,54089,6295
23,2/14/20,7899909835,23253,58854,8058
24,2/15/20,7899904195,26750,59660,9395
25,2/16/20,7899902478,26284,60373,10865
26,2/17/20,7899900303,26424,60690,12583
27,2/18/20,7899896804,28041,60803,14352
28,2/19/20,7899909574,14771,59534,16121
29,2/20/20,7899915041,8743,58039,18177
30,2/21/20,7899915993,7161,57956,18890
31,2/22/20,7899915784,5608,55722,22886
32,2/23/20,7899915675,5335,55596,23394
33,2/24/20,7899916607,3835,54331,25227
34,2/25/20,7899915685,3903,52507,27905
35,2/26/20,7899914420,4196,51000,30384
36,2/27/20,7899912734,4538,49451,33277
37,2/28/20,7899911728,4120,47441,36711
38,2/29/20,7899908815,5162,46241,39782
39,3/1/20,7899905133,6465,45686,42716
40,3/2/20,7899901628,7990,44780,45602
41,3/3/20,7899898008,8998,44766,48228
42,3/4/20,7899894396,10266,44168,51170
43,3/5/20,7899890736,11186,44282,53796
44,3/6/20,7899885883,12055,46197,55865
45,3/7/20,7899880141,13660,47841,58358
46,3/8/20,7899874186,15817,49303,60694
47,3/9/20,7899868705,17003,51798,62494
48,3/10/20,7899861995,18954,54647,64404
49,3/11/20,7899852500,20973,59524,67003
50,3/12/20,7899842252,24465,64959,68324
51,3/13/20,7899826439,27084,76226,70251
52,3/14/20,7899806155,36480,84741,72624
53,3/15/20,7899788329,43073,92564,76034
54,3/16/20,7899767288,49547,105077,78088
55,3/17/20,7899745023,56638,117499,80840
56,3/18/20,7899719044,65056,132693,83207
57,3/19/20,7899687590,69423,158133,84854
58,3/20/20,7899641861,85622,185261,87256
59,3/21/20,7899591137,103919,213445,91499
60,3/22/20,7899539065,121779,241452,97704
61,3/23/20,7899477472,140817,283377,98334
62,3/24/20,7899410595,165811,314470,109123
63,3/25/20,7899344318,180607,352689,122385
64,3/26/20,7899261553,202558,397836,138052
65,3/27/20,7899169235,230945,445298,154521
66,3/28/20,7899069934,260664,496954,172447
67,3/29/20,7898986391,287691,538911,187006
68,3/30/20,7898906747,302324,587174,203754
69,3/31/20,7898814775,315854,645409,223961
70,4/1/20,7898710790,333482,709519,246208
71,4/2/20,7898605916,355908,770727,267448
72,4/3/20,7898508840,368774,833243,289142
73,4/4/20,7898421025,396468,877876,304630
74,4/5/20,7898354200,391578,931117,323104
75,4/6/20,7898286201,384851,986592,342355
76,4/7/20,7898228894,373220,1037771,360114
77,4/8/20,7898160228,359710,1098777,381284
78,4/9/20,7898075081,357676,1163499,403743
79,4/10/20,7897961599,384736,1227658,426006
80,4/11/20,7897871377,399443,1283719,445460
81,4/12/20,7897752007,400232,1371752,476008
82,4/13/20,7897630532,449875,1425079,494513
83,4/14/20,7897556243,439531,1487909,516316
84,4/15/20,7897480535,436983,1546006,536475
85,4/16/20,7897394233,428817,1616137,560812
86,4/17/20,7897287400,447770,1681378,583451
87,4/18/20,7897239849,417069,1739471,603610
88,4/19/20,7897157107,423489,1796132,623271
89,4/20/20,7897088936,415178,1852911,642974
90,4/21/20,7897014623,413404,1909397,662575
91,4/22/20,7896950966,395023,1970301,683709
92,4/23/20,7896874091,389181,2031709,705018
93,4/24/20,7896786063,393646,2093745,726545
94,4/25/20,7896695617,400887,2155515,747980
95,4/26/20,7896618099,407610,2208072,766218
96,4/27/20,7896552407,402318,2260770,784504
97,4/28/20,7896487629,391264,2317066,804040
98,4/29/20,7896417186,384379,2374474,823960
99,4/30/20,7896339769,378144,2436576,845510
100,5/1/20,7896250376,378591,2502608,868424
101,5/2/20,7896153963,396742,2560709,888585
102,5/3/20,7896072688,404020,2615643,907648
103,5/4/20,7895996886,402185,2673280,927648
104,5/5/20,7895916892,402494,2732437,948176
105,5/6/20,7895830437,398527,2799565,971470
106,5/7/20,7895739823,400003,2865740,994433
107,5/8/20,7895638464,410879,2932913,1017743
108,5/9/20,7895537635,427365,2995528,1039471
109,5/10/20,7895455706,434071,3051373,1058849
110,5/11/20,7895384027,429609,3107899,1078464
111,5/12/20,7895313028,415328,3171209,1100434
112,5/13/20,7895232538,411470,3233828,1122163
113,5/14/20,7895143031,405335,3304831,1146802
114,5/15/20,7895035830,416634,3376028,1171507
115,5/16/20,7894921261,437313,3445730,1195695
116,5/17/20,7894825149,455062,3503906,1215882
117,5/18/20,7894742934,448145,3570076,1238844
118,5/19/20,7894642332,452929,3641210,1263528
119,5/20/20,7894536733,453105,3719475,1290686
120,5/21/20,7894421239,462626,3798148,1317986
121,5/22/20,7894301814,474709,3877837,1345639
122,5/23/20,7894168685,503688,3955157,1372469
123,5/24/20,7894060451,518706,4024359,1396483
124,5/25/20,7893974830,516104,4089854,1419211
125,5/26/20,7893899668,498904,4158423,1443004
126,5/27/20,7893810723,485293,4234559,1469424
127,5/28/20,7893695516,480507,4323640,1500336
128,5/29/20,7893558237,496350,4413792,1531620
129,5/30/20,7893394974,524570,4514046,1566409
130,5/31/20,7893245294,571390,4590408,1592907
131,6/1/20,7893134532,581888,4664843,1618736
132,6/2/20,7893014183,579596,4755890,1650330
133,6/3/20,7892900319,582244,4838455,1678981
134,6/4/20,7892772309,572024,4941075,1714591
135,6/5/20,7892635716,575211,5040114,1748958
136,6/6/20,7892475840,605757,5136127,1782275
137,6/7/20,7892335762,634823,5218541,1810873
138,6/8/20,7892244343,623194,5295042,1837420
139,6/9/20,7892126529,615026,5388569,1869875
140,6/10/20,7892001615,602778,5490396,1905210
141,6/11/20,7891861673,606534,5591499,1940293
142,6/12/20,7891727343,613390,5686134,1973132
143,6/13/20,7891576973,629852,5785546,2007628
144,6/14/20,7891414166,660712,5883501,2041620
145,6/15/20,7891283289,666677,5976234,2073799
146,6/16/20,7891151640,654427,6083063,2110869
147,6/17/20,7891000725,662140,6189374,2147760
148,6/18/20,7890841903,677868,6295605,2184623
149,6/19/20,7890651721,687054,6429974,2231250
150,6/20/20,7890416789,736103,6567971,2279136
151,6/21/20,7890262756,797074,6637059,2303110
152,6/22/20,7890171261,746237,6742724,2339777
153,6/23/20,7890004008,745367,6867536,2383088
154,6/24/20,7889807543,770396,6994808,2427252
155,6/25/20,7889637588,760836,7128078,2473497
156,6/26/20,7889451466,754468,7270979,2523086
157,6/27/20,7889175626,853896,7401945,2568532
158,6/28/20,7888973089,887976,7527005,2611929
159,6/29/20,7888820073,888310,7640355,2651261
160,6/30/20,7888655056,869556,7776784,2698603
161,7/1/20,7888435672,873812,7936492,2754023
162,7/2/20,7888208064,896450,8088659,2806826
163,7/3/20,7887976868,925008,8239094,2859029
164,7/4/20,7887752973,959189,8379935,2907902
