time,Date,S,E,I,R
0,2020-01-22,7899999398.727031,68.2729690300366,488.0,45.0
1,2020-01-23,7899998941.374163,448.62583728459134,562.0,48.0
2,2020-01-24,7899997812.517486,1322.4825145494863,804.0,61.0
3,2020-01-25,7899996308.099794,2368.9002059515074,1243.0,80.0
4,2020-01-26,7899994813.57733,3242.4226701132525,1840.0,104.0
5,2020-01-27,7899993312.147202,3983.852798282877,2565.0,139.0
6,2020-01-28,7899981657.025633,13074.974366685152,5039.0,229.0
7,2020-01-29,7899991439.545918,2853.454081960881,5457.0,250.0
8,2020-01-30,7899982116.724212,10272.275788324747,7307.0,304.0
9,2020-01-31,7899982513.50145,8341.498550412396,8731.0,414.0
10,2020-02-01,7899977795.005718,11048.99428153008,10643.0,513.0
11,2020-02-02,7899960197.5076475,23991.492352049547,15021.0,790.0
12,2020-02-03,7899964730.6169195,16462.383080471518,17815.0,992.0
13,2020-02-04,7899956340.38358,20980.616419817914,21412.0,1267.0
14,2020-02-05,7899953552.504509,20111.49549127288,24742.0,1594.0
15,2020-02-06,7899953480.920481,17113.07951943636,27398.0,2008.0
16,2020-02-07,7899948437.459101,18692.5408994893,30289.0,2581.0
17,2020-02-08,7899949821.874453,14656.125547489064,32316.0,3206.0
18,2020-02-09,7899945243.474477,16255.525523504584,34599.0,3902.0
19,2020-02-10,7899945258.021494,13747.97850573625,36332.0,4662.0
20,2020-02-11,7899945753.717433,11266.282566685295,37535.0,5445.0
21,2020-02-12,7899951652.013097,5019.986903557526,37490.0,5838.0
22,2020-02-13,7899865536.400276,76026.59972428014,51261.0,7176.0
23,2020-02-14,7899904334.6830225,30784.316977812898,55855.0,9026.0
24,2020-02-15,7899922118.9221,10965.077899975631,56468.0,10448.0
25,2020-02-16,7899920180.596745,10814.403255385529,57035.0,11970.0
26,2020-02-17,7899920269.932358,8812.067642645501,57197.0,13721.0
27,2020-02-18,7899919679.005419,7631.994581641068,57125.0,15564.0
28,2020-02-19,7899925997.792614,909.2073863062524,55747.0,17346.0
29,2020-02-20,7899926452.0,0.0,54085.0,19463.0
30,2020-02-21,7899919349.07538,6656.924619818061,53908.0,20086.0
31,2020-02-22,7899924559.0,0.0,51211.0,24230.0
32,2020-02-23,7899919416.0771,5118.922900252562,50813.0,24652.0
33,2020-02-24,7899924309.0,0.0,49100.0,26591.0
34,2020-02-25,7899923768.0,0.0,46945.0,29287.0
35,2020-02-26,7899923344.0,0.0,44992.0,31664.0
36,2020-02-27,7899922908.0,0.0,42639.0,34453.0
37,2020-02-28,7899922570.0,0.0,39593.0,37837.0
38,2020-02-29,7899922115.0,0.0,37069.0,40816.0
39,2020-03-01,7899921509.0,0.0,34837.0,43654.0
40,2020-03-02,7899921281.0,0.0,32361.0,46358.0
41,2020-03-03,7899921136.0,0.0,29917.0,48947.0
42,2020-03-04,7899920955.0,0.0,27532.0,51513.0
43,2020-03-05,7899920741.0,0.0,25428.0,53831.0
44,2020-03-06,7899920469.0,0.0,24040.0,55491.0
45,2020-03-07,7899920256.0,0.0,22638.0,57106.0
46,2020-03-08,7899920083.0,0.0,20939.0,58978.0
47,2020-03-09,7899919922.0,0.0,19664.0,60414.0
48,2020-03-10,7899919732.0,0.0,18465.0,61803.0
49,2020-03-11,7899919375.0,0.0,17320.0,63305.0
50,2020-03-12,7899919208.0,0.0,16210.0,64582.0
51,2020-03-13,7899918365.0,0.0,15733.0,65902.0
52,2020-03-14,7899917832.0,0.0,14796.0,67372.0
53,2020-03-15,7899917159.0,0.0,14083.0,68758.0
54,2020-03-16,7899915025.225202,1327.774798609121,13958.0,69689.0
55,2020-03-17,7899912530.540139,2749.459860493661,14113.0,70607.0
56,2020-03-18,7899911336.274789,2755.7252115030165,14265.0,71643.0
57,2020-03-19,7899907068.860517,5501.139483794994,14947.0,72483.0
58,2020-03-20,7899902265.597804,8346.4021954949,16164.0,73224.0
59,2020-03-21,7899898401.918801,9781.08119895995,17627.0,74190.0
60,2020-03-22,7899887961.84682,16760.15318025612,20408.0,74870.0
61,2020-03-23,7899886918.513686,14954.48631365101,22762.0,75365.0
62,2020-03-24,7899882805.029613,15766.970387801686,25210.0,76218.0
63,2020-03-25,7899882241.678603,13606.321396547386,27171.0,76981.0
64,2020-03-26,7899864865.492052,25851.507948061437,31461.0,77822.0
65,2020-03-27,7899865648.199488,20797.800512007783,34651.0,78903.0
66,2020-03-28,7899853953.219683,27257.780317276145,39011.0,79778.0
67,2020-03-29,7899854222.53772,22419.46227997926,42311.0,81047.0
68,2020-03-30,7899848423.927419,23503.072581314827,45732.0,82341.0
69,2020-03-31,7899841314.164777,25456.835223043054,49440.0,83789.0
70,2020-04-01,7899835180.308399,26309.69160040028,53213.0,85297.0
71,2020-04-02,7899823171.128686,31992.87131369425,57989.0,86847.0
72,2020-04-03,7899819688.295003,29782.704996953744,62205.0,88324.0
73,2020-04-04,7899812724.80797,30727.19203034249,66490.0,90058.0
74,2020-04-05,7899815217.735989,23596.264011638657,69271.0,91915.0
75,2020-04-06,7899807394.427568,26308.572431462653,72504.0,93793.0
76,2020-04-07,7899795821.132825,31756.867174846473,76709.0,95713.0
77,2020-04-08,7899789118.392878,32067.607122476966,80860.0,97954.0
78,2020-04-09,7899782275.560594,31990.439406099584,84883.0,100851.0
79,2020-04-10,7899777494.483014,30137.516985943275,88436.0,103932.0
80,2020-04-11,7899772031.732809,29961.267190903898,91858.0,106149.0
81,2020-04-12,7899762455.398116,33400.60188389998,95856.0,108288.0
82,2020-04-13,7899757252.34463,32957.65537000905,99659.0,110131.0
83,2020-04-14,7899766664.132285,17550.86771480226,100361.0,115424.0
84,2020-04-15,7899774938.0,0.0,96486.0,128576.0
85,2020-04-16,7899732629.140523,34921.8594769453,100654.0,131795.0
86,2020-04-17,7899721533.80785,36872.19215046821,105088.0,136506.0
87,2020-04-18,7899709302.983024,41111.01697603446,110226.0,139360.0
88,2020-04-19,7899743593.0,0.0,106563.0,149844.0
89,2020-04-20,7899691749.84358,44432.15641978754,112307.0,151511.0
90,2020-04-21,7899694887.775638,34488.224362137385,115960.0,154664.0
91,2020-04-22,7899694162.790554,27685.209446024644,118190.0,159962.0
92,2020-04-23,7899667081.46052,44799.539480238105,123689.0,164430.0
93,2020-04-24,7899651233.962909,50498.037090885606,130147.0,168121.0
94,2020-04-25,7899636859.825005,53519.174995058456,137017.0,172604.0
95,2020-04-26,7899635811.849238,46061.150761380486,142249.0,175878.0
96,2020-04-27,7899619007.542519,53675.45748165994,148820.0,178497.0
97,2020-04-28,7899604658.8436,57144.156399969914,155887.0,182310.0
98,2020-04-29,7899587680.9213,62219.07870020383,163749.0,186351.0
99,2020-04-30,7899568112.1367235,68530.86327625014,172625.0,190732.0
100,2020-05-01,7899570128.76596,55576.23403987646,178739.0,195556.0
101,2020-05-02,7899551152.583907,62229.41609257221,185981.0,200637.0
102,2020-05-03,7899550856.561974,52582.438026890304,191149.0,205412.0
103,2020-05-04,7899527782.255873,63749.74412733347,198349.0,210119.0
104,2020-05-05,7899512357.024853,66627.97514729903,205913.0,215102.0
105,2020-05-06,7899475194.938855,86087.06114498494,217057.0,221661.0
106,2020-05-07,7899472531.578189,72997.42181124545,225351.0,229120.0
107,2020-05-08,7899442367.11321,85660.8867903937,235883.0,236089.0
108,2020-05-09,7899418341.905184,92305.09481635386,247421.0,241932.0
109,2020-05-10,7899421941.138643,74798.86135708507,255239.0,248021.0
110,2020-05-11,7899405368.757302,78303.24269797014,263526.0,252802.0
111,2020-05-12,7899394933.762721,73423.23727940788,270638.0,261005.0
112,2020-05-13,7899360560.525942,88167.47405788528,280425.0,270847.0
113,2020-05-14,7899301719.709475,125819.29052567214,297271.0,275190.0
114,2020-05-15,7899277867.707715,123627.29228527956,313232.0,285273.0
115,2020-05-16,7899255587.131265,121876.86873546426,328418.0,294118.0
116,2020-05-17,7899278319.741066,83802.25893404258,335783.0,302095.0
117,2020-05-18,7899222373.233018,116946.76698200546,349396.0,311284.0
118,2020-05-19,7899189838.080478,123944.91952240435,364000.0,322217.0
119,2020-05-20,7899135092.709054,145247.29094590884,382351.0,337309.0
120,2020-05-21,7899121216.280126,129814.71987444784,397200.0,351769.0
121,2020-05-22,7899068955.215403,149182.78459769386,415413.0,366449.0
122,2020-05-23,7899013758.020713,170398.9792871634,437258.0,378585.0
123,2020-05-24,7899029391.618837,129339.3811627297,450520.0,390749.0
124,2020-05-25,7898985749.124926,148685.87507438046,467185.0,398380.0
125,2020-05-26,7898955670.033469,152214.96653067053,484083.0,408032.0
126,2020-05-27,7898922664.41411,154157.58588970554,500899.0,422279.0
127,2020-05-28,7898849466.907122,187036.09287798114,523654.0,439843.0
128,2020-05-29,7898826996.199306,170975.80069402626,542665.0,459363.0
129,2020-05-30,7898680731.306918,264056.6930821542,579268.0,475944.0
130,2020-05-31,7898766712.465277,152419.53472338393,593155.0,487713.0
131,2020-06-01,7898715153.085615,175800.9143847454,611213.0,497833.0
132,2020-06-02,7898834035.192608,13351.807392506325,597174.0,555439.0
133,2020-06-03,7898642859.082656,165147.91734398348,613050.0,578943.0
134,2020-06-04,7898579595.1777315,183636.82226878047,632091.0,604677.0
