Date,S,E,I,R
2020-01-22,,,488.0,45.0
2020-01-23,7799999020.0,370.0,562.0,48.0
2020-01-24,7799997925.0,1210.0,804.0,61.0
2020-01-25,7799996482.0,2195.0,1243.0,80.0
2020-01-26,7799995071.0,2985.0,1840.0,104.0
2020-01-27,7799993671.0,3625.0,2565.0,139.0
2020-01-28,7799982362.0,12370.0,5039.0,229.0
2020-01-29,7799992203.0,2090.0,5457.0,250.0
2020-01-30,7799983139.0,9250.0,7307.0,304.0
2020-01-31,7799983735.0,7120.0,8731.0,414.0
2020-02-01,7799979284.0,9560.0,10643.0,513.0
2020-02-02,7799962299.0,21890.0,15021.0,790.0
2020-02-03,7799967223.0,13970.0,17815.0,992.0
2020-02-04,7799959336.0,17985.0,21412.0,1267.0
2020-02-05,7799957014.0,16650.0,24742.0,1594.0
2020-02-06,7799957314.0,13280.0,27398.0,2008.0
2020-02-07,7799952675.0,14455.0,30289.0,2581.0
2020-02-08,7799954343.0,10135.0,32316.0,3206.0
2020-02-09,7799950084.0,11415.0,34599.0,3902.0
2020-02-10,7799950341.0,8665.0,36332.0,4662.0
2020-02-11,7799951005.0,6015.0,37535.0,5445.0
2020-02-12,7799956672.0,0.0,37490.0,5838.0
2020-02-13,7799872708.0,68855.0,51261.0,7176.0
2020-02-14,7799912149.0,22970.0,55855.0,9026.0
2020-02-15,7799930019.0,3065.0,56468.0,10448.0
2020-02-16,7799928160.0,2835.0,57035.0,11970.0
2020-02-17,7799928272.0,810.0,57197.0,13721.0
2020-02-18,7799927311.0,0.0,57125.0,15564.0
2020-02-19,7799926907.0,0.0,55747.0,17346.0
2020-02-20,7799926452.0,0.0,54085.0,19463.0
2020-02-21,7799926006.0,0.0,53908.0,20086.0
2020-02-22,7799924559.0,0.0,51211.0,24230.0
2020-02-23,7799924535.0,0.0,50813.0,24652.0
2020-02-24,7799924309.0,0.0,49100.0,26591.0
2020-02-25,7799923768.0,0.0,46945.0,29287.0
2020-02-26,7799923344.0,0.0,44992.0,31664.0
2020-02-27,7799922908.0,0.0,42639.0,34453.0
2020-02-28,7799922570.0,0.0,39593.0,37837.0
2020-02-29,7799922115.0,0.0,37069.0,40816.0
2020-03-01,7799921509.0,0.0,34837.0,43654.0
2020-03-02,7799921281.0,0.0,32361.0,46358.0
2020-03-03,7799921136.0,0.0,29917.0,48947.0
2020-03-04,7799920955.0,0.0,27532.0,51513.0
2020-03-05,7799920741.0,0.0,25428.0,53831.0
2020-03-06,7799920469.0,0.0,24040.0,55491.0
2020-03-07,7799920256.0,0.0,22638.0,57106.0
2020-03-08,7799920083.0,0.0,20939.0,58978.0
2020-03-09,7799919922.0,0.0,19664.0,60414.0
2020-03-10,7799919732.0,0.0,18465.0,61803.0
2020-03-11,7799919375.0,0.0,17320.0,63305.0
2020-03-12,7799919208.0,0.0,16210.0,64582.0
2020-03-13,7799918365.0,0.0,15733.0,65902.0
2020-03-14,7799917832.0,0.0,14796.0,67372.0
2020-03-15,7799917159.0,0.0,14083.0,68758.0
2020-03-16,7799916353.0,0.0,13958.0,69689.0
2020-03-17,7799914505.0,775.0,14113.0,70607.0
2020-03-18,7799913332.0,760.0,14265.0,71643.0
2020-03-19,7799909160.0,3410.0,14947.0,72483.0
2020-03-20,7799904527.0,6085.0,16164.0,73224.0
2020-03-21,7799900868.0,7315.0,17627.0,74190.0
2020-03-22,7799890817.0,13905.0,20408.0,74870.0
2020-03-23,7799890103.0,11770.0,22762.0,75365.0
2020-03-24,7799886332.0,12240.0,25210.0,76218.0
2020-03-25,7799886043.0,9805.0,27171.0,76981.0
2020-03-26,7799869267.0,21450.0,31461.0,77822.0
2020-03-27,7799870496.0,15950.0,34651.0,78903.0
2020-03-28,7799859411.0,21800.0,39011.0,79778.0
2020-03-29,7799860142.0,16500.0,42311.0,81047.0
2020-03-30,7799854822.0,17105.0,45732.0,82341.0
2020-03-31,7799848231.0,18540.0,49440.0,83789.0
2020-04-01,7799842625.0,18865.0,53213.0,85297.0
2020-04-02,7799831284.0,23880.0,57989.0,86847.0
2020-04-03,7799828391.0,21080.0,62205.0,88324.0
2020-04-04,7799822027.0,21425.0,66490.0,90058.0
2020-04-05,7799824909.0,13905.0,69271.0,91915.0
2020-04-06,7799817538.0,16165.0,72504.0,93793.0
2020-04-07,7799806553.0,21025.0,76709.0,95713.0
2020-04-08,7799800431.0,20755.0,80860.0,97954.0
2020-04-09,7799794151.0,20115.0,84883.0,100851.0
2020-04-10,7799789867.0,17765.0,88436.0,103932.0
2020-04-11,7799784883.0,17110.0,91858.0,106149.0
2020-04-12,7799775866.0,19990.0,95856.0,108288.0
2020-04-13,7799771195.0,19015.0,99659.0,110131.0
2020-04-14,7799780705.0,3510.0,100361.0,115424.0
2020-04-15,7799774938.0,0.0,96486.0,128576.0
2020-04-16,7799746711.0,20840.0,100654.0,131795.0
2020-04-17,7799736236.0,22170.0,105088.0,136506.0
2020-04-18,7799724724.0,25690.0,110226.0,139360.0
2020-04-19,7799743593.0,0.0,106563.0,149844.0
2020-04-20,7799707462.0,28720.0,112307.0,151511.0
2020-04-21,7799711111.0,18265.0,115960.0,154664.0
2020-04-22,7799710698.0,11150.0,118190.0,159962.0
2020-04-23,7799684386.0,27495.0,123689.0,164430.0
2020-04-24,7799669442.0,32290.0,130147.0,168121.0
2020-04-25,7799656029.0,34350.0,137017.0,172604.0
2020-04-26,7799655713.0,26160.0,142249.0,175878.0
2020-04-27,7799639828.0,32855.0,148820.0,178497.0
2020-04-28,7799626468.0,35335.0,155887.0,182310.0
2020-04-29,7799610590.0,39310.0,163749.0,186351.0
2020-04-30,7799592263.0,44380.0,172625.0,190732.0
2020-05-01,7799595135.0,30570.0,178739.0,195556.0
2020-05-02,7799577172.0,36210.0,185981.0,200637.0
2020-05-03,7799577599.0,25840.0,191149.0,205412.0
2020-05-04,7799555532.0,36000.0,198349.0,210119.0
2020-05-05,7799541165.0,37820.0,205913.0,215102.0
2020-05-06,7799505562.0,55720.0,217057.0,221661.0
2020-05-07,7799504059.0,41470.0,225351.0,229120.0
2020-05-08,7799475368.0,52660.0,235883.0,236089.0
2020-05-09,7799452957.0,57690.0,247421.0,241932.0
2020-05-10,7799457650.0,39090.0,255239.0,248021.0
2020-05-11,7799442237.0,41435.0,263526.0,252802.0
2020-05-12,7799432797.0,35560.0,270638.0,261005.0
2020-05-13,7799399793.0,48935.0,280425.0,270847.0
2020-05-14,7799343309.0,84230.0,297271.0,275190.0
2020-05-15,7799321690.0,79805.0,313232.0,285273.0
2020-05-16,7799301534.0,75930.0,328418.0,294118.0
2020-05-17,7799325297.0,36825.0,335783.0,302095.0
2020-05-18,7799271255.0,68065.0,349396.0,311284.0
2020-05-19,7799240763.0,73020.0,364000.0,322217.0
2020-05-20,7799188585.0,91755.0,382351.0,337309.0
2020-05-21,7799176786.0,74245.0,397200.0,351769.0
2020-05-22,7799127073.0,91065.0,415413.0,366449.0
2020-05-23,7799074932.0,109225.0,437258.0,378585.0
2020-05-24,7799092421.0,66310.0,450520.0,390749.0
2020-05-25,7799051110.0,83325.0,467185.0,398380.0
2020-05-26,7799023395.0,84490.0,484083.0,408032.0
2020-05-27,7798992742.0,84080.0,500899.0,422279.0
2020-05-28,7798922728.0,113775.0,523654.0,439843.0
2020-05-29,7798902917.0,95055.0,542665.0,459363.0
2020-05-30,7798761773.0,183015.0,579268.0,475944.0
2020-05-31,7798849697.0,69435.0,593155.0,487713.0
2020-06-01,7798800664.0,90290.0,611213.0,497833.0
2020-06-02,7798847387.0,0.0,597174.0,555439.0
2020-06-03,7798728627.0,79380.0,613050.0,578943.0
2020-06-04,7798668027.0,95205.0,632091.0,604677.0
2020-06-05,7798595873.0,121760.0,656443.0,625924.0
2020-06-06,7798534424.0,136905.0,683824.0,644847.0
2020-06-07,7798552905.0,85980.0,701020.0,660095.0
2020-06-08,7798609044.0,0.0,627577.0,763379.0
2020-06-09,7798488106.0,77125.0,643002.0,791767.0
2020-06-10,7798409577.0,106725.0,664347.0,819351.0
2020-06-11,7798385165.0,87445.0,681836.0,845554.0
2020-06-12,7798355318.0,76570.0,697150.0,870962.0
2020-06-13,7798329500.0,64015.0,709953.0,896532.0
2020-06-14,7798307125.0,53900.0,720733.0,918242.0
2020-06-15,7798210123.0,110890.0,742911.0,936076.0
2020-06-16,7798223144.0,46550.0,752221.0,978085.0
2020-06-17,7798226382.0,0.0,731530.0,1042088.0
2020-06-18,7798117061.0,69125.0,745355.0,1068459.0
2020-06-19,7797915930.0,197235.0,784802.0,1102033.0
2020-06-20,7797822760.0,211240.0,827050.0,1138950.0
2020-06-21,7798038412.0,0.0,801627.0,1159961.0
2020-06-22,7797897505.0,97725.0,821172.0,1183598.0
2020-06-23,7797863851.0,77610.0,836694.0,1221845.0
2020-06-24,7797844566.0,41155.0,844925.0,1269354.0
2020-06-25,7797697442.0,130405.0,871006.0,1301147.0
2020-06-26,7797652515.0,114825.0,893971.0,1338689.0
2020-06-27,7797641949.0,73095.0,908590.0,1376366.0
2020-06-28,7797582718.0,84810.0,925552.0,1406920.0
2020-06-29,7797565734.0,65390.0,938630.0,1430246.0
2020-06-30,7797527209.0,50370.0,948704.0,1473717.0
2020-07-01,7797432212.0,84660.0,965636.0,1517492.0
2020-07-02,7797458284.0,0.0,868943.0,1672773.0
2020-07-03,7797312537.0,87560.0,886455.0,1713448.0
2020-07-04,7797213104.0,138900.0,914235.0,1733761.0
2020-07-05,7797313205.0,0.0,904132.0,1782663.0
2020-07-06,7797275017.0,0.0,896861.0,1828122.0
2020-07-07,7797194475.0,18565.0,900574.0,1886386.0
2020-07-08,7797110551.0,42735.0,909121.0,1937593.0
2020-07-09,7797030053.0,64890.0,922099.0,1982958.0
2020-07-10,7797025204.0,10745.0,924248.0,2039803.0
2020-07-11,7796934292.0,52160.0,934680.0,2078868.0
2020-07-12,7796940177.0,9725.0,936625.0,2113473.0
2020-07-13,7796913686.0,0.0,933582.0,2152732.0
2020-07-14,7796804373.0,52395.0,944061.0,2199171.0
2020-07-15,7796727298.0,74185.0,958898.0,2239619.0
2020-07-16,7796741022.0,0.0,957919.0,2301059.0
2020-07-17,7796642539.0,47345.0,967388.0,2342728.0
2020-07-18,7796599902.0,49595.0,977307.0,2373196.0
2020-07-19,7796534018.0,78625.0,993032.0,2394325.0
2020-07-20,7796575383.0,0.0,965277.0,2459340.0
2020-07-21,7796467197.0,45515.0,974380.0,2512908.0
2020-07-22,7796258492.0,171695.0,1008719.0,2561094.0
2020-07-23,7796187843.0,167875.0,1042294.0,2601988.0
2020-07-24,7796282397.0,0.0,1030333.0,2687270.0
2020-07-25,7796219612.0,0.0,989809.0,2790579.0
2020-07-26,7796183335.0,0.0,988527.0,2828138.0
2020-07-27,7796135606.0,3235.0,989174.0,2871985.0
2020-07-28,7795891831.0,177150.0,1024604.0,2906415.0
2020-07-29,7795976770.0,19915.0,1028587.0,2974728.0
2020-07-30,7795780865.0,140380.0,1056663.0,3022092.0
2020-07-31,7795827314.0,23860.0,1061435.0,3087391.0
2020-08-01,7795694098.0,100310.0,1081497.0,3124095.0
2020-08-02,7795740065.0,17005.0,1084898.0,3158032.0
2020-08-03,7795724179.0,0.0,1072995.0,3202826.0
2020-08-04,7795645531.0,5865.0,1074168.0,3274436.0
2020-08-05,7795439587.0,138260.0,1101820.0,3320333.0
2020-08-06,7795411747.0,94190.0,1120658.0,3373405.0
2020-08-07,7795375545.0,62935.0,1133245.0,3428275.0
2020-08-08,7795376172.0,270.0,1133299.0,3490259.0
2020-08-09,7795340391.0,0.0,1126806.0,3532803.0
2020-08-10,7795286109.0,9745.0,1128755.0,3575391.0
2020-08-11,7795228304.0,0.0,1055256.0,3716440.0
2020-08-12,7795153718.0,1935.0,1055643.0,3788704.0
2020-08-13,7794830625.0,246950.0,1105033.0,3817392.0
2020-08-14,7795010972.0,0.0,1059902.0,3929126.0
2020-08-15,7794800119.0,158075.0,1091517.0,3950289.0
2020-08-16,7794921523.0,0.0,1082818.0,3995659.0
2020-08-17,7794884741.0,0.0,1061791.0,4053468.0
2020-08-18,7794818492.0,0.0,1060080.0,4121428.0
