Date,Confirmed,Recovered,Deaths,NewConfirmed,NewDeaths,NewRecovered,ActiveCases
2020-01-22,533,28.0,17,0.0,0.0,0.0,488.0
2020-01-23,610,30.0,18,77.0,1.0,2.0,562.0
2020-01-24,865,35.0,26,255.0,8.0,5.0,804.0
2020-01-25,1323,38.0,42,458.0,16.0,3.0,1243.0
2020-01-26,1944,48.0,56,621.0,14.0,10.0,1840.0
2020-01-27,2704,57.0,82,760.0,26.0,9.0,2565.0
2020-01-28,5268,98.0,131,2564.0,49.0,41.0,5039.0
2020-01-29,5707,117.0,133,439.0,2.0,19.0,5457.0
2020-01-30,7611,133.0,171,1904.0,38.0,16.0,7307.0
2020-01-31,9145,201.0,213,1534.0,42.0,68.0,8731.0
2020-02-01,11156,254.0,259,2011.0,46.0,53.0,10643.0
2020-02-02,15811,429.0,361,4655.0,102.0,175.0,15021.0
2020-02-03,18807,567.0,425,2996.0,64.0,138.0,17815.0
2020-02-04,22679,776.0,491,3872.0,66.0,209.0,21412.0
2020-02-05,26336,1032.0,562,3657.0,71.0,256.0,24742.0
2020-02-06,29406,1376.0,632,3070.0,70.0,344.0,27398.0
2020-02-07,32870,1864.0,717,3464.0,85.0,488.0,30289.0
2020-02-08,35522,2402.0,804,2652.0,87.0,538.0,32316.0
2020-02-09,38501,2998.0,904,2979.0,100.0,596.0,34599.0
2020-02-10,40994,3651.0,1011,2493.0,107.0,653.0,36332.0
2020-02-11,42980,4335.0,1110,1986.0,99.0,684.0,37535.0
2020-02-12,43328,4723.0,1115,348.0,5.0,388.0,37490.0
2020-02-13,58437,5811.0,1365,15109.0,250.0,1088.0,51261.0
2020-02-14,64881,7509.0,1517,6444.0,152.0,1698.0,55855.0
2020-02-15,66916,8789.0,1659,2035.0,142.0,1280.0,56468.0
2020-02-16,69005,10208.0,1762,2089.0,103.0,1419.0,57035.0
2020-02-17,70918,11861.0,1860,1913.0,98.0,1653.0,57197.0
2020-02-18,72689,13565.0,1999,1771.0,139.0,1704.0,57125.0
2020-02-19,73093,15235.0,2111,404.0,112.0,1670.0,55747.0
2020-02-20,73548,17232.0,2231,455.0,120.0,1997.0,54085.0
2020-02-21,73994,17855.0,2231,446.0,0.0,623.0,53908.0
2020-02-22,75441,21795.0,2435,1447.0,204.0,3940.0,51211.0
2020-02-23,75465,22215.0,2437,24.0,2.0,420.0,50813.0
2020-02-24,75691,24004.0,2587,226.0,150.0,1789.0,49100.0
2020-02-25,76232,26630.0,2657,541.0,70.0,2626.0,46945.0
2020-02-26,76656,28955.0,2709,424.0,52.0,2325.0,44992.0
2020-02-27,77092,31715.0,2738,436.0,29.0,2760.0,42639.0
2020-02-28,77430,35056.0,2781,338.0,43.0,3341.0,39593.0
2020-02-29,77885,37988.0,2828,455.0,47.0,2932.0,37069.0
2020-03-01,78491,40790.0,2864,606.0,36.0,2802.0,34837.0
2020-03-02,78719,43452.0,2906,228.0,42.0,2662.0,32361.0
2020-03-03,78864,46008.0,2939,145.0,33.0,2556.0,29917.0
2020-03-04,79045,48537.0,2976,181.0,37.0,2529.0,27532.0
2020-03-05,79259,50823.0,3008,214.0,32.0,2286.0,25428.0
2020-03-06,79531,52454.0,3037,272.0,29.0,1631.0,24040.0
2020-03-07,79744,54041.0,3065,213.0,28.0,1587.0,22638.0
2020-03-08,79917,55882.0,3096,173.0,31.0,1841.0,20939.0
2020-03-09,80078,57294.0,3120,161.0,24.0,1412.0,19664.0
2020-03-10,80268,58667.0,3136,190.0,16.0,1373.0,18465.0
2020-03-11,80625,60142.0,3163,357.0,27.0,1475.0,17320.0
2020-03-12,80792,61405.0,3177,167.0,14.0,1263.0,16210.0
2020-03-13,81635,62712.0,3190,843.0,13.0,1307.0,15733.0
2020-03-14,82168,64166.0,3206,533.0,16.0,1454.0,14796.0
2020-03-15,82841,65541.0,3217,673.0,11.0,1375.0,14083.0
2020-03-16,83647,66450.0,3239,806.0,22.0,909.0,13958.0
2020-03-17,84720,67344.0,3263,1073.0,24.0,894.0,14113.0
2020-03-18,85908,68348.0,3295,1188.0,32.0,1004.0,14265.0
2020-03-19,87430,69162.0,3321,1522.0,26.0,814.0,14947.0
2020-03-20,89388,69868.0,3356,1958.0,35.0,706.0,16164.0
2020-03-21,91817,70772.0,3418,2429.0,62.0,904.0,17627.0
2020-03-22,95278,71398.0,3472,3461.0,54.0,626.0,20408.0
2020-03-23,98127,71848.0,3517,2849.0,45.0,450.0,22762.0
2020-03-24,101428,72619.0,3599,3301.0,82.0,771.0,25210.0
2020-03-25,104152,73279.0,3702,2724.0,103.0,660.0,27171.0
2020-03-26,109283,73994.0,3828,5131.0,126.0,715.0,31461.0
2020-03-27,113554,74944.0,3959,4271.0,131.0,950.0,34651.0
2020-03-28,118789,75667.0,4111,5235.0,152.0,723.0,39011.0
2020-03-29,123358,76750.0,4297,4569.0,186.0,1083.0,42311.0
2020-03-30,128073,77852.0,4489,4715.0,192.0,1102.0,45732.0
2020-03-31,133229,78949.0,4840,5156.0,351.0,1097.0,49440.0
2020-04-01,138510,80188.0,5109,5281.0,269.0,1239.0,53213.0
2020-04-02,144836,81313.0,5534,6326.0,425.0,1125.0,57989.0
2020-04-03,150529,82453.0,5871,5693.0,337.0,1140.0,62205.0
2020-04-04,156548,83787.0,6271,6019.0,400.0,1334.0,66490.0
2020-04-05,161186,85272.0,6643,4638.0,372.0,1485.0,69271.0
2020-04-06,166297,86672.0,7121,5111.0,478.0,1400.0,72504.0
2020-04-07,172422,87853.0,7860,6125.0,739.0,1181.0,76709.0
2020-04-08,178814,89541.0,8413,6392.0,553.0,1688.0,80860.0
2020-04-09,185734,91806.0,9045,6920.0,632.0,2265.0,84883.0
2020-04-10,192368,94064.0,9868,6634.0,823.0,2258.0,88436.0
2020-04-11,198007,95668.0,10481,5639.0,613.0,1604.0,91858.0
2020-04-12,204144,97217.0,11071,6137.0,590.0,1549.0,95856.0
2020-04-13,209790,98388.0,11743,5646.0,672.0,1171.0,99659.0
2020-04-14,215785,102976.0,12448,5995.0,705.0,4588.0,100361.0
2020-04-15,225062,115401.0,13175,9277.0,727.0,12425.0,96486.0
2020-04-16,232449,117751.0,14044,7387.0,869.0,2350.0,100654.0
2020-04-17,241594,120361.0,16145,9145.0,2101.0,2610.0,105088.0
2020-04-18,249586,122475.0,16885,7992.0,740.0,2114.0,110226.0
2020-04-19,256407,132368.0,17476,6821.0,591.0,9893.0,106563.0
2020-04-20,263818,133536.0,17975,7411.0,499.0,1168.0,112307.0
2020-04-21,270624,136111.0,18553,6806.0,578.0,2575.0,115960.0
2020-04-22,278152,140717.0,19245,7528.0,692.0,4606.0,118190.0
2020-04-23,288119,144271.0,20159,9967.0,914.0,3554.0,123689.0
2020-04-24,298268,147175.0,20946,10149.0,787.0,2904.0,130147.0
2020-04-25,309621,150814.0,21790,11353.0,844.0,3639.0,137017.0
2020-04-26,318127,153468.0,22410,8506.0,620.0,2654.0,142249.0
2020-04-27,327317,155444.0,23053,9190.0,643.0,1976.0,148820.0
2020-04-28,338197,158388.0,23922,10880.0,869.0,2944.0,155887.0
2020-04-29,350100,161546.0,24805,11903.0,883.0,3158.0,163749.0
2020-04-30,363357,165113.0,25619,13257.0,814.0,3567.0,172625.0
2020-05-01,374295,169183.0,26373,10938.0,754.0,4070.0,178739.0
2020-05-02,386618,173624.0,27013,12323.0,640.0,4441.0,185981.0
2020-05-03,396561,177842.0,27570,9943.0,557.0,4218.0,191149.0
2020-05-04,408468,181951.0,28168,11907.0,598.0,4109.0,198349.0
2020-05-05,421015,186087.0,29015,12547.0,847.0,4136.0,205913.0
2020-05-06,438718,191417.0,30244,17703.0,1229.0,5330.0,217057.0
