date,cumulative_confirmed,cumulative_recovered,active_infected,new_cases_daily,new_recovered_daily,S,I,R,E,S_seir,beta_est,gamma_est,sigma_est,R0_est,population_N
2020-01-22,557,30,527,0.0,0.0,7899999443,527,30,0,7899999443,0.0,0.0,0.2,,7900000000
2020-01-23,657,32,625,100.0,2.0,7899999343,625,32,250,7899999093,0.08,0.0016,0.2,50.0,7900000000
2020-01-24,944,39,905,287.0,7.0,7899999056,905,39,645,7899998411,0.142541,0.003315,0.2,42.9988,7900000000
2020-01-25,1437,42,1395,493.0,3.0,7899998563,1395,42,1100,7899997463,0.157706,0.002151,0.2,73.3175,7900000000
2020-01-26,2120,56,2064,683.0,14.0,7899997880,2064,56,1563,7899996317,0.151454,0.002519,0.2,60.1247,7900000000
2020-01-27,2929,65,2864,809.0,9.0,7899997071,2864,65,2372,7899994699,0.138035,0.002037,0.2,67.7639,7900000000
2020-01-28,5580,108,5472,2651.0,43.0,7899994420,5472,108,4923,7899989497,0.131135,0.002036,0.2,64.4082,7900000000
2020-01-29,6169,127,6042,589.0,19.0,7899993831,6042,127,5225,7899988606,0.13269,0.002293,0.2,57.8674,7900000000
2020-01-30,8237,145,8092,2068.0,18.0,7899991763,8092,145,6800,7899984963,0.133818,0.001995,0.2,67.0767,7900000000
2020-01-31,9927,225,9702,1690.0,80.0,7899990073,9702,225,7807,7899982266,0.13227,0.002739,0.2,48.2913,7900000000
2020-02-01,12038,287,11751,2111.0,62.0,7899987962,11751,287,9109,7899978853,0.128877,0.002978,0.2,43.2764,7900000000
2020-02-02,16787,476,16311,4749.0,189.0,7899983213,16311,476,11207,7899972006,0.128459,0.003678,0.2,34.9263,7900000000
2020-02-03,19887,627,19260,3100.0,151.0,7899980113,19260,627,13718,7899966395,0.125783,0.004169,0.2,30.171,7900000000
2020-02-04,23899,857,23042,4012.0,230.0,7899976101,23042,857,15662,7899960439,0.113576,0.004644,0.2,24.4565,7900000000
2020-02-05,27644,1130,26514,3745.0,273.0,7899972356,26514,1130,17717,7899954639,0.115707,0.005404,0.2,21.4114,7900000000
2020-02-06,30806,1493,29313,3162.0,363.0,7899969194,29313,1493,18768,7899950426,0.109991,0.006569,0.2,16.7439,7900000000
2020-02-07,34400,2016,32384,3594.0,523.0,7899965600,32384,2016,17613,7899947987,0.107959,0.007901,0.2,13.664,7900000000
2020-02-08,37131,2617,34514,2731.0,601.0,7899962869,34514,2617,17244,7899945625,0.103863,0.009644,0.2,10.7697,7900000000
2020-02-09,40162,3247,36915,3031.0,630.0,7899959838,36915,3247,16263,7899943575,0.090459,0.010723,0.2,8.436,7900000000
2020-02-10,42771,3949,38822,2609.0,702.0,7899957229,38822,3949,15127,7899942102,0.084209,0.012224,0.2,6.8888,7900000000
2020-02-11,44814,4684,40130,2043.0,735.0,7899955186,40130,4684,14008,7899941178,0.074455,0.013624,0.2,5.465,7900000000
2020-02-12,45232,5151,40081,418.0,467.0,7899954768,40081,5151,10832,7899943936,0.062688,0.014332,0.2,4.374,7900000000
2020-02-13,60384,6294,54090,15152.0,1143.0,7899939616,54090,6294,23253,7899916363,0.078119,0.01268,0.2,6.1608,7900000000
2020-02-14,66912,8061,58851,6528.0,1767.0,7899933088,58851,8061,26750,7899906338,0.078922,0.014674,0.2,5.3784,7900000000
2020-02-15,69055,9397,59658,2143.0,1336.0,7899930945,59658,9397,26284,7899904661,0.076446,0.016235,0.2,4.7087,7900000000
2020-02-16,71238,10867,60371,2183.0,1470.0,7899928762,60371,10867,26424,7899902338,0.073536,0.018031,0.2,4.0783,7900000000
2020-02-17,73273,12587,60686,2035.0,1720.0,7899926727,60686,12587,28041,7899898686,0.071804,0.020334,0.2,3.5312,7900000000
2020-02-18,75155,14352,60803,1882.0,1765.0,7899924845,60803,14352,14771,7899910074,0.071287,0.022715,0.2,3.1383,7900000000
2020-02-19,75655,16123,59532,500.0,1771.0,7899924345,59532,16123,8743,7899915602,0.073006,0.026329,0.2,2.7728,7900000000
2020-02-20,76216,18181,58035,561.0,2058.0,7899923784,58035,18181,7161,7899916623,0.038972,0.029261,0.2,1.3319,7900000000
2020-02-21,76846,18894,57952,630.0,713.0,7899923154,57952,18894,5608,7899917546,0.024488,0.026704,0.2,0.917,7900000000
2020-02-22,78608,22892,55716,1762.0,3998.0,7899921392,55716,22892,5335,7899916057,0.024494,0.034601,0.2,0.7079,7900000000
